Microsite,Transect,NO3,NH4,K,P
+,1,0.6,2.3,127.85,0.9
-,1,5.2,18.9,321.01,0.3
+,2,0.9,1.6,105.09,0.2
-,2,0.9,2.6,130.13,0.3
+,3,3.8,3.1,146.78,0.3
-,3,2.8,1.9,104.84,0.3
+,4,3.2,7.3,70.790000000000006,0.4
-,4,1.5,2.0,229.97,0.5
+,5,1.0,2.8,99.1,0.3
-,5,1.7,2.3,142.52000000000001,0.9
+,6,0.7,4.0,103.23,1.6
-,6,4.0,3.9,45.19,0.6
+,7,3.9,2.0,116.27,0.8
-,7,1.4,1.5,85.92,1.2
+,8,8.9,4.5,83.52,0.7
-,8,2.5,1.3,110.49,0.3
+,9,0.5,1.7,58.96,0.5
-,9,2.6,2.6,72.239999999999995,1.2
+,10,0.0,1.3,129.53,1.1
-,10,1.0,1.4,67.45,1.1
+,11,2.8,6.1,79.14,0.5
-,11,1.4,2.2,89.75,0.6
-,11,0.0,4.4,53.86,1.1
-,11,0.7,5.3,138.58000000000001,0.9
-,11,0.0,12.2,110.25,0.8
+,12,0.0,14.0,111.88,0.8
-,12,1.8,1.8,104.85,1.0
-,12,1.5,2.0,140.41999999999999,1.3
+,13,0.0,18.5,101.58,1.4
-,13,0.9,3.3,70.75,0.2
-,13,2.2,3.8,225.55,0.6
