Microsite,Transect,TN,K,P, Clay_Depth, NumTowers, Height
+,1,1.55,0.14,0.67,17.78,11,-0.1825
-,1,1.07,0.086938,0.59,13.0175,5,-0.6825
+,2,0.63,0.08,0.81,12.7,4,-1.1825
-,2,0.70,0.06,0.61,10.16,8,-1.6825
+,3,1.09,0.086758,0.52,20.0025,6,-0.6825
-,3,0.81,0.09789,0.89,12.7,0,-1.1825
+,4,1.01,0.098717,0.60,22.225,5,-0.6825
-,4,0.52,0.10,0.63,23.8125,0,-1.1825
+,5,1.08,0.077126,0.61,13.6525,5,1.3175
-,5,0.55,0.098468,0.90,8.5725,0,0.8175
+,6,1.08,0.076982,0.53,4.445,1,-0.1825
-,6,1.04,0.11,0.54,15.24,5,0.3175
+,7,1.01,0.087042,0.64,10.4775,8,-0.1825
-,7,1.03,0.075914,0.64,24.765,0,-0.6825
+,8,0.97,0.086374,0.59,18.415,6,-1.1825
-,8,0.94,0.075815,0.62,24.765,0,-1.6825
+,9,1.09,0.086711,0.53,10.795,10,2.3175
-,9,0.98,0.076145,0.52,24.765,1,2.8175
+,10,1.13,0.07617,0.54,5.08,12,-0.6825
-,10,0.80,0.076486,0.58,17.78,8,-0.6825
+,11,0.98,0.076561,0.57,20.32,6,-0.6825
-,11,1.01,0.076294,0.53,19.3675,7,1.3175
-,11,0.89,0.076679,0.49,18.415,6,-0.6825
-,11,1.12,0.075815,0.50,15.875,8,-0.6825
-,11,1.18,0.075889,0.55,24.765,8,-0.1825
+,12,0.68,0.07,0.42,12.7,0,1.3175
-,12,0.73,0.10,0.45,21.2725,0,1.3175
+,13,0.74,0.065631,0.77,12.7,3,2.3175
-,13,1.17,0.098511,0.48,21.59,0,-0.1825
