Microsite, Transect, Clay_Depth, NumTowers, Height
+,1,17.78,11,-0.1825
-,1,13.0175,5,-0.6825
+,2,12.7,4,-1.1825
-,2,10.16,8,-1.6825
+,3,20.0025,6,-0.6825
-,3,12.7,0,-1.1825
+,4,22.225,5,-0.6825
-,4,23.8125,0,-1.1825
+,5,13.6525,5,1.3175
-,5,8.5725,0,0.8175
+,6,4.445,1,-0.1825
-,6,15.24,5,0.3175
+,7,10.4775,8,-0.1825
-,7,24.765,0,-0.6825
+,8,18.415,6,-1.1825
-,8,24.765,0,-1.6825
+,9,10.795,10,2.3175
-,9,24.765,1,2.8175
+,10,5.08,12,-0.6825
-,10,17.78,8,-0.6825
+,11,20.32,6,-0.6825
-,11,19.3675,7,1.3175
-,11,18.415,6,-0.6825
-,11,15.875,8,-0.6825
-,11,24.765,8,-0.1825
+,12,12.7,0,1.3175
-,12,17.4625,0,0.8175
-,12,21.2725,0,1.3175
+,13,12.7,3,2.3175
-,13,8.89,0,1.3175
-,13,21.59,0,-0.1825
